leaf_id,depth,leaf_weight,feature,path_gain,coef_abs,leaf_score,weighted_contribution,seed
2,2,0.4967741935483871,HISTORY_NEOADJUVANT_TRTYN,0.0,0.0,0.0,0.0,1
2,2,0.4967741935483871,HISTORY_OTHER_MALIGNANCY,0.0,0.3247876578529148,0.0057031362630371295,0.002833170917766832,1
2,2,0.4967741935483871,NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.0,1.1979344579949744,0.02103523112084154,0.01044975997615999,1
2,2,0.4967741935483871,OCT_EMBEDDED,0.0,0.13612346786950294,0.0023902715115132404,0.0011874252024936742,1
2,2,0.4967741935483871,PRIMARY_MELANOMA_KNOWN_DX,0.0,0.11491860812973605,0.0020179229889925737,0.0010024520654995366,1
2,2,0.4967741935483871,PROSPECTIVE_COLLECTION,0.0,1.246469159829687,0.021887480309985906,0.01087313537979945,1
2,2,0.4967741935483871,RACE,0.0,0.12912251083184653,0.0022673376161140963,0.0011263548157470027,1
2,2,0.4967741935483871,RADIATION_TREATMENT_ADJUVANT,0.0,1.4842682910924063,0.026063134205791632,0.01294749247642552,1
2,2,0.4967741935483871,RETROSPECTIVE_COLLECTION,0.0,0.7408371562854056,0.013008792510613204,0.0064624324084981725,1
2,2,0.4967741935483871,SAMPLE_COUNT,0.0,3.094838362106369,0.05434407516544387,0.02699673411444631,1
2,2,0.4967741935483871,SAMPLE_TYPE,0.0,0.5868389593740876,0.010304648187355053,0.005119083293073155,1
2,2,0.4967741935483871,SAMPLE_TYPE_ID,0.0,1.0201657295451447,0.017913686144784117,0.008899056988054046,1
2,2,0.4967741935483871,SEX,0.0,0.03606007243232421,0.0006331998823356399,0.00031455736090222106,1
2,2,0.4967741935483871,VIAL_NUMBER,0.0,1.8513529036216723,0.032508987410800674,0.016149626004075174,1
0,1,0.3032258064516129,AGE,0.16370558375634517,0.23081204781454578,0.5058353825793116,0.1533823418143719,2
0,1,0.3032258064516129,AJCC_NODES_PATHOLOGIC_PN,0.0,0.401723757342575,0.010156366781928203,0.003079672508068552,2
0,1,0.3032258064516129,AJCC_STAGING_EDITION,0.0,0.33958195473965924,0.008585299778322576,0.0026032844489107167,2
0,1,0.3032258064516129,DAYS_TO_COLLECTION,0.0,1.2752697762800957,0.032241328418033045,0.009776402810629374,2
0,1,0.3032258064516129,FORM_COMPLETION_DATE,0.0,0.10382148060195887,0.002624811247937083,0.0007959105074389865,2
0,1,0.3032258064516129,FRACTION_GENOME_ALTERED,0.0,0.11506506354020804,0.0029090711409025575,0.0008821054427252916,2
0,1,0.3032258064516129,ICD_10,0.0,0.07297662568505756,0.0018449926433722929,0.0005594493821838566,2
0,1,0.3032258064516129,ICD_O_3_HISTOLOGY,0.0,0.037512381131139486,0.0009483867823790211,0.000287575346914929,2
0,1,0.3032258064516129,ICD_O_3_SITE,0.0,0.0,0.0,0.0,2
0,1,0.3032258064516129,INITIAL_PATHOLOGIC_DX_YEAR,0.0,1.7283384053761983,0.043695794553978776,0.013249692542174209,2
0,1,0.3032258064516129,OS_MONTHS,0.0,3.0673415955675143,0.07754842904021332,0.023514684934774363,2
0,1,0.3032258064516129,SAMPLE_INITIAL_WEIGHT,0.0,0.22438156506997628,0.005672807326678483,0.0017201415764767013,2
0,1,0.3032258064516129,SUBMITTED_TUMOR_DX_DAYS_TO,0.0,0.5476766238177108,0.013846342337770616,0.004198568321775606,2
0,1,0.3032258064516129,TISSUE_SOURCE_SITE,0.0,0.07312552639383257,0.0018487571461799238,0.0005605908765835898,2
0,1,0.3032258064516129,TUMOR_SITE,0.0,0.2192681429346727,0.005543529956924405,0.0016809413417770778,2
0,1,0.3032258064516129,ETHNICITY,0.0,1.6343817623697865,0.04132038580473209,0.012529407308531665,2
0,1,0.3032258064516129,HISTORY_NEOADJUVANT_TRTYN,0.0,0.37623431657806766,0.009511943581311253,0.0028842667633653474,2
0,1,0.3032258064516129,HISTORY_OTHER_MALIGNANCY,0.0,1.9462809063913398,0.04920580967562104,0.014920471320994767,2
0,1,0.3032258064516129,NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.0,0.7296658736942692,0.018447388550076417,0.005593724270023172,2
0,1,0.3032258064516129,OCT_EMBEDDED,0.0,0.1410379523146091,0.0035657168581586882,0.0010812173698932796,2
0,1,0.3032258064516129,PRIMARY_MELANOMA_KNOWN_DX,0.0,1.2288661562882135,0.031068153628061958,0.009420665938831691,2
0,1,0.3032258064516129,PROSPECTIVE_COLLECTION,0.0,0.40078247875736717,0.010132569407785869,0.003072456530102812,2
0,1,0.3032258064516129,RACE,0.0,0.8979056521850213,0.02270082108034451,0.006883474779201238,2
0,1,0.3032258064516129,RADIATION_TREATMENT_ADJUVANT,0.0,0.5407508517512364,0.013671245196838613,0.004145474350009128,2
0,1,0.3032258064516129,RETROSPECTIVE_COLLECTION,0.0,0.16194622335236222,0.004094319076857696,0.0012415032039503982,2
0,1,0.3032258064516129,SAMPLE_COUNT,0.0,0.0,0.0,0.0,2
0,1,0.3032258064516129,SAMPLE_TYPE,0.0,1.0451676051004963,0.02642389291639023,0.008012406239163489,2
0,1,0.3032258064516129,SAMPLE_TYPE_ID,0.0,1.7206856116261235,0.04350231687482343,0.013191025116881942,2
0,1,0.3032258064516129,SEX,0.0,0.516341849816088,0.013054137615066304,0.003958351405858815,2
