feature,stfi_raw,stfi_norm,perm_raw,perm_norm,shap_raw,shap_norm,stfi_rank,perm_rank,shap_rank,seed
SUBMITTED_TUMOR_DX_DAYS_TO,0.005731134752599948,0.005731134752599949,-0.00410852713178292,0.0,0.03450782374538994,0.07437412013961285,21,19,5,0
TISSUE_SOURCE_SITE,0.0018909928479396132,0.0018909928479396135,0.015769656699889275,0.08053387625834178,0.02197158147496431,0.04735497237766543,28,2,7,0
TUMOR_SITE,0.006235419149186177,0.006235419149186178,0.007508305647840541,0.03834407872412622,0.005555622100769963,0.011973936943159279,20,5,17,0
ETHNICITY,0.008365970775175757,0.008365970775175759,-0.00017718715393135002,0.0,0.001309635445447862,0.0028226347937066647,18,19,26,0
HISTORY_NEOADJUVANT_TRTYN,0.01816437297440527,0.018164372974405273,0.0020930232558139675,0.01068883610451312,0.001201218056326334,0.0025889646560809934,9,13,28,0
HISTORY_OTHER_MALIGNANCY,0.017047161472078475,0.01704716147207848,-0.0017054263565891385,0.0,0.00385832725743562,0.008315786503945965,10,19,21,0
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.012712808393939543,0.012712808393939545,-0.0022591362126245756,0.0,0.010494318159027554,0.022618223777357373,13,19,13,0
OCT_EMBEDDED,0.004688280782992739,0.00468828078299274,0.00186046511627909,0.009501187648456146,0.00211656602291956,0.00456179841515135,22,14,24,0
PRIMARY_MELANOMA_KNOWN_DX,0.01502512635661563,0.015025126356615631,0.0034108527131783066,0.017418844022169474,0.005565012516785013,0.011994175945595865,12,9,16,0
PROSPECTIVE_COLLECTION,0.016619312739578323,0.016619312739578326,0.0022702104097453066,0.011593711118651786,0.004343386468201268,0.009361226294136432,11,12,19,0
RACE,0.02827564599972754,0.028275645999727542,0.0,0.0,0.0029912995458458535,0.006447096560994531,6,19,23,0
RADIATION_TREATMENT_ADJUVANT,0.010305188156919134,0.010305188156919136,-0.0014617940199335192,0.0,0.0009697375463336155,0.0020900586866056717,16,19,29,0
RETROSPECTIVE_COLLECTION,0.008057952821464803,0.008057952821464804,0.00265780730897011,0.013573125212080112,0.004999083701451463,0.010774439284928898,19,10,18,0
SAMPLE_COUNT,0.04349202466951099,0.043492024669511,-0.002469545957918066,0.0,0.001222850526691389,0.002635588748104825,5,19,27,0
SAMPLE_TYPE,0.023199989910469936,0.02319998991046994,0.0005758582502768764,0.00294084379595079,0.004305553474084704,0.009279685491377391,8,17,20,0
SAMPLE_TYPE_ID,0.012472396284861197,0.012472396284861199,0.0055481727574751005,0.02833389888021722,0.003765174755447662,0.008115016515514472,14,7,22,0
SEX,0.00438241140192164,0.004382411401921641,0.0011295681063123065,0.005768578215134098,0.007939968116495059,0.01711287697995706,24,16,15,0
VIAL_NUMBER,0.07544011775491961,0.07544011775491963,0.0,0.0,0.00031071552832451883,0.0006696798442972895,2,19,30,0
AGE,0.5154664228310882,0.5154664228310883,-0.0031966490299823605,0.0,0.019915459120071824,0.044013487265004814,1,18,7,1
AJCC_NODES_PATHOLOGIC_PN,0.006742112967208324,0.0067421129672083245,0.010802469135802455,0.04186602870813391,0.011640577591996885,0.025725865043517388,22,5,14,1
AJCC_STAGING_EDITION,0.008288882076887674,0.008288882076887676,0.011089065255731945,0.04297676008202333,0.025217650128304514,0.05573141528315793,19,4,5,1
DAYS_TO_COLLECTION,0.05017987591192363,0.05017987591192364,0.013580246913580256,0.05263157894736845,0.049602857103930025,0.10962311771418524,3,3,3,1
FORM_COMPLETION_DATE,0.003588167955468124,0.0035881679554681245,-9.920634920635625e-05,0.0,0.014035435275163525,0.031018539317509905,29,18,12,1
FRACTION_GENOME_ALTERED,0.0034228605408442208,0.003422860540844221,0.0028549382716049343,0.011064593301435392,0.020529223383878234,0.045369916230357285,30,10,6,1
ICD_10,0.0036898794439424636,0.003689879443942464,0.0019400352733686195,0.007518796992481253,0.017500554349748433,0.03867650860365399,28,13,9,1
ICD_O_3_HISTOLOGY,0.006263525785634254,0.0062635257856342545,-0.0006613756613756627,0.0,0.002970852006143347,0.006565631058277738,23,18,21,1
ICD_O_3_SITE,0.010812286832663226,0.010812286832663227,-0.006779100529100527,0.0,0.016553203544681813,0.03658284797836275,18,18,10,1
INITIAL_PATHOLOGIC_DX_YEAR,0.04806248262791819,0.0480624826279182,0.036992945326278684,0.1433697881066303,0.05125327758999154,0.11327057372347005,4,2,2,1
OS_MONTHS,0.07283038280715604,0.07283038280715605,0.13977072310405644,0.5416951469583049,0.0886683037477277,0.19595838761642956,2,1,1,1
SAMPLE_INITIAL_WEIGHT,0.004617289292948513,0.004617289292948514,0.0022817460317460236,0.008843130553656839,0.016383710496223267,0.03620826559565893,24,12,11,1
SUBMITTED_TUMOR_DX_DAYS_TO,0.01117073418943024,0.011170734189430242,-0.0105820105820106,0.0,0.03354784166801322,0.07414127352632043,17,18,4,1
TISSUE_SOURCE_SITE,0.004487571417756827,0.0044875714177568275,0.005952380952380961,0.023069036226930996,0.017544553244441003,0.03877374687366073,26,9,8,1
TUMOR_SITE,0.004222644623692995,0.004222644623692996,-0.0007164902998236244,0.0,0.0061425679557101116,0.013575174685307412,27,18,19,1
ETHNICITY,0.02262812902088474,0.022628129020884742,0.0024911816578483403,0.009654818865345242,0.0012747726890278,0.0028172682927381427,7,11,27,1
HISTORY_NEOADJUVANT_TRTYN,0.012029508383526878,0.01202950838352688,-5.5114638447969115e-05,0.0,0.0013258727556969996,0.0029302002678448054,14,18,26,1
HISTORY_OTHER_MALIGNANCY,0.019659592651519363,0.019659592651519366,-0.002447089947089931,0.0,0.0009785398983552037,0.0021625890266897614,10,18,28,1
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.021787939303656103,0.021787939303656106,0.009380511463844787,0.03635509227614487,0.013287348790751595,0.029365256068739496,9,6,13,1
OCT_EMBEDDED,0.007871691268926412,0.007871691268926414,-0.0009369488536155195,0.0,0.001380416470285987,0.0030507427606377003,20,18,25,1
PRIMARY_MELANOMA_KNOWN_DX,0.011237841875856237,0.011237841875856238,0.007054673721340395,0.027341079972658947,0.008127662098817092,0.017962264898026527,16,8,15,1
